id,label
1,frog
2,truck
3,truck
4,deer
11,deer
15,truck
16,truck
17,truck
20,frog
21,deer
23,frog
24,frog
26,frog
29,deer
32,truck
35,deer
51,truck
54,truck
59,deer
67,deer
68,truck
72,truck
73,frog
77,truck
83,deer
87,deer
89,truck
90,deer
96,frog
99,deer
103,truck
104,frog
105,frog
110,truck
111,truck
118,frog
119,truck
123,truck
125,frog
126,frog
128,truck
131,deer
133,frog
144,frog
146,deer
147,truck
148,truck
150,deer
152,frog
154,deer
155,frog
159,deer
163,deer
165,frog
167,truck
176,deer
181,deer
187,truck
188,frog
189,truck
201,frog
203,truck
205,frog
206,truck
209,truck
210,frog
211,frog
215,truck
220,truck
225,frog
226,truck
229,frog
232,frog
233,frog
235,frog
236,frog
243,frog
244,frog
246,frog
248,deer
249,frog
250,frog
255,deer
264,deer
266,truck
269,deer
270,truck
271,truck
273,deer
274,truck
275,truck
279,truck
287,frog
293,frog
296,truck
297,deer
299,frog
300,deer
307,truck
308,truck
311,deer
314,frog
317,truck
320,truck
323,truck
327,frog
328,frog
337,deer
341,truck
344,deer
346,deer
347,deer
348,frog
351,frog
352,frog
356,frog
358,truck
361,truck
362,frog
364,deer
369,frog
370,truck
373,deer
379,deer
382,deer
386,truck
388,frog
391,deer
399,deer
400,deer
407,truck
409,truck
410,frog
415,deer
420,truck
421,deer
429,truck
430,deer
435,deer
436,deer
438,frog
439,truck
444,truck
445,truck
448,deer
450,deer
452,frog
453,frog
459,deer
465,frog
473,truck
474,frog
478,deer
481,truck
485,deer
489,frog
490,deer
491,deer
496,truck
506,deer
509,truck
512,truck
513,truck
521,deer
522,deer
526,frog
527,deer
529,deer
530,frog
531,truck
533,frog
542,truck
544,deer
550,deer
553,frog
554,truck
557,frog
564,deer
572,frog
573,deer
578,truck
580,truck
582,deer
588,frog
589,frog
592,frog
595,truck
613,truck
614,truck
616,truck
617,deer
620,frog
621,frog
622,deer
623,deer
626,frog
633,deer
634,frog
635,truck
636,truck
641,frog
643,deer
644,truck
646,frog
652,frog
656,frog
658,truck
660,truck
661,deer
662,deer
665,truck
666,deer
667,truck
668,frog
669,truck
670,deer
673,truck
675,deer
678,deer
680,truck
681,frog
683,frog
684,truck
693,frog
694,deer
704,truck
706,deer
707,truck
711,frog
712,deer
713,deer
719,frog
720,truck
721,frog
722,frog
726,deer
729,frog
739,frog
746,frog
750,truck
756,frog
757,truck
759,deer
764,truck
765,deer
769,truck
770,truck
771,frog
781,deer
782,frog
792,truck
799,truck
808,frog
817,deer
819,frog
820,frog
829,truck
832,deer
837,frog
838,frog
839,frog
845,deer
855,frog
857,deer
863,frog
864,frog
868,truck
869,deer
877,deer
878,truck
882,truck
884,truck
885,truck
887,truck
888,deer
891,truck
897,frog
900,frog
901,truck
904,frog
905,deer
915,frog
916,truck
921,frog
922,frog
924,frog
926,deer
930,frog
931,deer
932,frog
935,deer
936,frog
938,frog
940,deer
946,deer
947,deer
951,truck
952,deer
954,truck
960,deer
961,frog
962,frog
965,truck
967,deer
971,truck
977,deer
980,deer
983,deer
986,frog
1001,truck
1002,deer
1005,deer
1006,deer
1008,deer
1014,frog
1017,frog
1018,frog
1019,deer
1023,deer
1024,frog
1027,truck
1028,frog
1029,truck
1032,frog
1035,truck
1036,frog
1039,frog
1044,truck
1046,truck
1048,frog
1050,truck
1052,frog
1054,frog
1063,truck
1064,frog
1070,deer
1074,truck
1076,truck
1079,truck
1083,truck
1086,frog
1100,truck
1102,frog
1103,truck
1106,truck
1113,truck
1115,truck
1116,truck
1118,truck
1127,frog
1132,frog
1133,frog
1138,truck
1141,truck
1144,deer
1149,deer
1155,frog
1156,frog
1159,deer
1160,frog
1162,frog
1170,deer
1172,truck
1176,frog
1177,frog
1183,deer
1187,truck
1191,truck
1192,frog
1193,frog
1195,frog
1202,truck
1204,deer
1211,frog
1213,deer
1214,truck
1218,truck
1221,frog
1222,deer
1223,frog
1224,truck
1226,deer
1229,frog
1232,truck
1233,truck
1234,truck
1236,truck
1238,frog
1239,deer
1242,truck
1247,frog
1248,truck
1249,frog
1254,truck
1255,deer
1257,deer
1260,frog
1263,truck
1264,truck
1265,deer
1269,deer
1270,deer
1278,truck
1280,truck
1285,deer
1291,truck
1295,deer
1298,deer
1300,deer
1304,deer
1311,deer
1312,deer
1313,deer
1314,deer
1316,deer
1318,frog
1319,frog
1323,truck
1325,deer
1327,truck
1328,frog
1333,truck
1334,deer
1340,deer
1343,frog
1344,truck
1348,deer
1349,deer
1350,deer
1351,deer
1354,truck
1361,frog
1362,truck
1363,frog
1367,deer
1368,frog
1372,frog
1374,deer
1375,frog
1379,truck
1380,truck
1385,truck
1386,deer
1388,deer
1389,deer
1391,truck
1394,frog
1397,deer
1403,frog
1404,frog
1407,deer
1408,deer
1419,truck
1421,frog
1423,truck
1426,deer
1434,truck
1436,deer
1437,frog
1438,truck
1448,frog
1451,deer
1452,deer
1454,frog
1457,truck
1458,deer
1463,truck
1466,truck
1468,truck
1472,deer
1473,truck
1485,frog
1486,frog
1492,deer
1505,truck
1506,truck
1510,deer
1517,deer
1527,deer
1530,frog
1532,frog
1536,deer
1537,frog
1538,frog
1551,frog
1553,frog
1558,deer
1564,frog
1570,deer
1573,truck
1576,deer
1580,frog
1585,frog
1586,frog
1588,truck
1591,truck
1596,deer
1597,frog
1603,truck
1611,truck
1613,truck
1614,frog
1616,deer
1620,truck
1623,truck
1624,deer
1625,deer
1628,frog
1629,frog
1631,deer
1634,truck
1636,frog
1638,frog
1639,truck
1640,deer
1641,deer
1643,frog
1645,deer
1647,frog
1649,truck
1653,truck
1655,deer
1658,deer
1660,deer
1664,deer
1667,deer
1668,deer
1670,truck
1673,truck
1679,frog
1683,truck
1688,frog
1691,frog
1693,deer
1696,deer
1698,truck
1705,deer
1707,truck
1713,deer
1715,truck
1719,truck
1723,frog
1726,truck
1729,deer
1731,frog
1734,frog
1735,truck
1740,deer
1742,frog
1744,frog
1745,truck
1747,deer
1749,truck
1761,frog
1762,frog
1763,deer
1766,truck
1767,frog
1768,truck
1774,truck
1775,truck
1785,deer
1792,deer
1796,deer
1797,truck
1803,frog
1805,deer
1808,frog
1810,frog
1814,deer
1815,deer
1818,deer
1820,frog
1827,deer
1828,truck
1830,truck
1833,deer
1837,frog
1838,frog
1843,frog
1852,deer
1856,deer
1864,deer
1867,deer
1869,truck
1871,deer
1875,frog
1877,frog
1881,deer
1882,deer
1883,deer
1890,deer
1894,truck
1904,deer
1905,deer
1907,truck
1911,deer
1913,truck
1918,frog
1924,deer
